Numero;Nombre;CodigoPais
1;Thibaut Courtois;1
2;Vincent Kompany;1
3;Jan Vertonghen;1
4;Toby Alderweireld;1
5;Thomas Vermaelen;1
6;Thomas Meunier;1
7;Mousa Dembélé;1
8;Marouane Fellaini;1
9;Radja Nainggolan;1
10;Axel Witsel;1
11;Kevin De Bruyne;1
12;Eden Hazard;1
13;Yannick Carrasco;1
14;Dries Mertens;1
15;Christian Benteke;1
16;Romelu Lukaku;1
17;Danijel Subasic;2
18;Vedran Corluka;2
19;Domagoj Vida;2
20;Josip Pivaric;2
21;Sime Vrsaljko;2
22;Matej Mitrovic;2
23;Milan Badelj;2
24;Mateo Kovacic;2
25;Marcelo Brozovic;2
26;Luka Modric;2
27;Ivan Rakitic;2
28;Ivan Perisic;2
29;Marko Pjaca;2
30;Andrej Kramaric;2
31;Nikola Kalinic;2
32;Mario Mandzukic;2
33;Tomas Vaclik;3
34;Tomas Sivok;3
35;Marek Suchý;3
36;Michal Kadlec;3
37;Pavel Kaderabek;3
38;Filip Novak;3
39;Jiri Skalak;3
40;David Pavelka;3
41;Vladimir Darida;3
42;Tomas Horava;3
43;Borek Dockal;3
44;Ladislav Krejci;3
45;Milan Skoda;3
46;Patrik Schick;3
47;Vaclav Kadlec;3
48;Tomas Necid;3
49;Joe Hart;4
50;Gary Cahill;4
51;Chris Smalling;4
52;John Stones;4
53;Kyle Walker;4
54;Danny Rose;4
55;Nathaniel Clyne;4
56;Dele Alli;4
57;Jordan Henderson;4
58;Eric Dier;4
59;Adam Lallana;4
60;Raheem Sterling;4
61;Wayne Rooney;4
62;Daniel Sturridge;4
63;Harry Kane;4
64;Jamie Vardy;4
65;David De Gea;5
66;Sergio Ramos;5
67;Gerard Piqué;5
68;Daniel Carvajal;5
69;Jordi Alba;5
70;Cesar Azpilicueta;5
71;Nacho Fernández;5
72;Sergio Busquets;5
73;Andrés Iniesta;5
74;Isco;5
75;Koke;5
76;Thiago Alcántara;5
77;David Silva;5
78;Vitolo;5
79;Álvaro Morata;5
80;Diego Costa;5
81;Hugo Lloris;6
82;Raphael Varane;6
83;Laurent Koscielny;6
84;Samuel Umtiti;6
85;Djibril Sidibé;6
86;Patrice Evra;6
87;N´Golo Kanté;6
88;Blaise Matuidi;6
89;Paul Pogba;6
90;Moussa Sissoko;6
91;Dimitri Payet;6
92;Anthony Martial;6
93;Kevin Gameiro;6
94;Antoine Griezmann;6
95;Olivier Giroud;6
96;André-Pierre Gignac;6
97;Manuel Neuer;7
98;Mats Hummels;7
99;Jerome Boateng;7
100;Benedikt Howedes;7
101;Shkodran Mustafi;7
102;Jonas Hector;7
103;Joshua Kimmich;7
104;Sami Khedira;7
105;Toni Kroos;7
106;Ilkay Gundogan;7
107;Mesut Ozil;7
108;André Schurrle;7
109;Thomas Muller;7
110;Marco Reus;7
111;Mario Gotze;7
112;Mario Gomez;7
113;Orestis Karnezis;8
114;Vasilis Torosidis;8
115;Kostas Manolas;8
116;Sokratis Papastathopoulos;8
117;Kyriakos Papadopoulos;8
118;Giorgos Tzavellas;8
119;Kostas Stafylidis;8
120;Panagiotis Tachtsidis;8
121;Alexandros Tziolis;8
122;Andreas Samaris;8
123;Giannis Maniatis;8
124;Kostas Fortounis;8
125;Petros Mantalos;8
126;Tasos Bakasetas;8
127;Nikolaos Karelis;8
128;Konstantinos Mitroglou;8
129;Gianluigi Buffon;9
130;Andrea Barzagli;9
131;Leonardo Bonucci;9
132;Giorgio Chellini;9
133;Alessio Romagnoli;9
134;Mattia De Sciglio;9
135;Matteo Darmian;9
136;Daniele De Rossi;9
137;Claudio Marchisio;9
138;Marco Verratti;9
139;Alessandro Florenzi;9
140;Antonio Candreva;9
141;Lorenzo Insigne;9
142;Federico Bernardeschi;9
143;Andrea Belotti;9
144;Ciro Immobile;9
145;Rui Patricio;10
146;Pepe;10
147;José Fonte ;10
148;Cédric;10
149;Raphaël Guerreiro;10
150;Joao Cancelo;10
151;Joao Moutinho;10
152;William Carvalho;10
153;Adrien Silva;10
154;Joao Mario;10
155;Renato Sanches;10
156;Nani;10
157;Quaresma;10
158;André Silva;10
159;Éder;10
160;Cristiano Ronaldo;10
161;Ciprian Tatarusanu;11
162;Dragos Grigore;11
163;Vlad Chiriches;11
164;Cristian Sapunaru;11
